sub_field_name,sub_field_id,topic_name,topic_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Artificial Intelligence,https://openalex.org/subfields/1702,Diverse Interdisciplinary Research Studies,https://openalex.org/T13898,12,8,10,12,14,11,10,10,12,12,8,7,7,11,4,3,8,14,13,10,16,11,11,12,5,14,11,13,19,18,15,10,22,25,14,29,36,33,29,29,38,35,36,39,50,35,35,34,68,60,33,16,24,16,23
Artificial Intelligence,https://openalex.org/subfields/1702,Domain Adaptation and Few-Shot Learning,https://openalex.org/T11307,0,2,1,1,2,0,3,0,0,0,1,1,0,1,1,1,1,4,0,4,5,4,7,3,4,5,6,7,4,9,11,11,12,10,15,16,17,48,41,88,86,129,141,183,205,271,350,435,706,1188,1507,2490,2448,3101,2112
Artificial Intelligence,https://openalex.org/subfields/1702,Edcuational Technology Systems,https://openalex.org/T13559,57,4,1,1,3,2,2,4,4,2,4,7,5,12,10,8,9,11,11,9,9,20,16,19,23,22,23,26,16,20,38,62,85,86,123,154,195,273,486,531,838,966,1433,1714,2099,2926,3470,4076,4586,5413,5713,5791,5034,5938,4956
Artificial Intelligence,https://openalex.org/subfields/1702,Educational Robotics and Engineering,https://openalex.org/T14335,106,91,120,99,84,82,93,97,98,93,101,96,110,121,110,129,122,169,138,156,178,157,178,197,195,217,218,238,258,262,315,431,426,502,543,599,741,791,806,873,951,994,997,1084,1020,1032,848,777,745,796,701,516,423,373,378
Artificial Intelligence,https://openalex.org/subfields/1702,Educational Technology and Pedagogy,https://openalex.org/T12260,4,4,4,6,2,1,2,3,3,8,3,3,4,2,2,4,9,8,5,9,12,13,16,10,9,14,16,24,16,123,449,972,1166,1258,1345,1513,1553,1588,1699,1747,1881,1888,1458,1299,1016,853,507,526,641,900,1541,1884,1780,2186,2580
Artificial Intelligence,https://openalex.org/subfields/1702,Evolutionary Algorithms and Applications,https://openalex.org/T11975,57,60,52,41,53,51,45,47,36,50,65,58,61,59,74,69,93,125,122,116,159,162,196,193,245,305,361,372,410,546,511,563,1356,1017,906,1136,1235,1206,1146,1116,1104,1085,1057,1061,1008,1002,873,901,922,905,823,771,686,673,821
Artificial Intelligence,https://openalex.org/subfields/1702,Experience-Based Knowledge Management,https://openalex.org/T13514,2,2,2,3,2,1,1,3,3,0,2,1,7,2,1,6,3,6,2,2,7,6,5,8,10,7,11,2,7,11,5,9,14,13,9,15,19,20,23,27,53,53,65,66,95,55,45,45,40,40,41,25,12,11,15
Artificial Intelligence,https://openalex.org/subfields/1702,Explainable Artificial Intelligence (XAI),https://openalex.org/T12026,1,1,2,2,4,2,2,0,2,2,2,3,3,2,7,4,11,10,11,11,11,12,5,16,12,4,7,9,7,9,7,10,5,8,8,17,17,9,17,16,23,10,17,23,34,43,62,99,262,521,766,1073,1112,1409,1651
Artificial Intelligence,https://openalex.org/subfields/1702,Fuzzy Logic and Control Systems,https://openalex.org/T10820,63,47,33,32,42,40,54,80,50,52,74,67,73,98,96,104,117,127,184,202,281,354,454,611,714,675,716,721,800,944,771,798,3502,1472,1110,1469,1348,1310,1357,1287,1407,1414,1324,1347,1227,1192,1113,1065,986,1007,892,738,608,664,935
Artificial Intelligence,https://openalex.org/subfields/1702,Gaussian Processes and Bayesian Inference,https://openalex.org/T12814,3,10,13,17,6,13,9,9,11,9,7,6,7,5,9,11,13,15,14,13,12,12,17,20,15,20,22,16,33,47,59,49,64,80,77,117,125,167,181,199,221,226,276,323,335,359,370,438,474,515,538,555,361,360,406
