sub_field_name,sub_field_id,topic_name,topic_id,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Artificial Intelligence,https://openalex.org/subfields/1702,Cognitive Science and Mapping,https://openalex.org/T12805,-18.03,48.0,-6.76,40.58,2.06,-3.03,-23.96,52.05,-6.31,4.81,22.94,-10.45,-14.17,14.56,11.02,19.85,27.39,-8.5,13.11,4.83,2.3,0.0,1.35,15.11,-4.63,13.36,-7.5,12.36,1.37,2.71,0.33,47.04,-8.95,0.98,5.6,10.6,6.04,9.63,21.15,-2.66,16.72,0.13,7.28,4.0,-1.05,-5.65,0.5,18.63,0.31,-5.53,-19.12,-12.3,4.21,21.08
Artificial Intelligence,https://openalex.org/subfields/1702,Computational Physics and Python Applications,https://openalex.org/T13650,-8.11,6.62,-11.03,1.55,23.66,-19.14,33.59,-20.0,-2.86,19.12,-12.35,12.68,14.37,0.0,10.93,13.79,11.69,-1.55,12.6,3.85,-6.73,0.72,4.3,6.53,14.84,-0.84,1.98,1.11,6.04,3.11,18.84,8.67,-1.36,0.59,15.29,0.17,4.24,3.58,7.08,3.23,10.67,9.25,-8.59,13.38,11.01,5.83,-3.29,15.08,8.77,-3.91,-11.96,-35.38,15.77,36.32
Artificial Intelligence,https://openalex.org/subfields/1702,Computer Science and Engineering,https://openalex.org/T13674,28.57,11.11,-60.0,62.5,176.92,-66.67,-41.67,-14.29,83.33,-18.18,88.89,-11.76,46.67,-9.09,25.0,-16.0,57.14,-21.21,15.38,16.67,-17.14,13.79,42.42,-27.66,11.76,18.42,-4.44,-9.3,92.31,13.33,14.12,42.27,-0.72,38.69,18.42,71.11,12.73,36.18,26.06,46.17,2.57,10.92,27.44,-2.28,30.46,8.4,16.09,-0.47,6.07,-5.95,-25.84,-12.71,28.07,33.96
Artificial Intelligence,https://openalex.org/subfields/1702,Cryptographic Implementations and Security,https://openalex.org/T10951,-20.0,0.0,0.0,-25.0,0.0,133.33,-57.14,166.67,12.5,0.0,88.89,-29.41,91.67,-39.13,-57.14,166.67,62.5,-30.77,33.33,0.0,20.83,0.0,41.38,0.0,-4.88,28.21,18.0,16.95,34.78,38.71,-24.03,139.8,5.96,12.05,42.29,11.84,11.26,16.19,13.76,10.26,5.97,19.13,-10.45,8.85,-0.68,9.55,-3.11,5.46,3.15,-8.66,2.91,-2.93,5.39,-16.17
Artificial Intelligence,https://openalex.org/subfields/1702,Cryptography and Data Security,https://openalex.org/T10237,133.33,-71.43,100.0,175.0,-81.82,150.0,20.0,66.67,0.0,-10.0,44.44,107.69,3.7,-14.29,75.0,-21.43,69.7,-5.36,7.55,29.82,-1.35,20.55,21.59,11.21,0.0,18.49,-6.38,21.97,18.63,8.9,4.33,137.33,-0.78,38.36,16.12,28.62,17.23,4.6,13.75,2.38,6.96,3.29,19.87,1.45,4.89,-0.61,-4.4,3.62,6.07,-6.85,0.82,-6.43,12.72,-14.47
Artificial Intelligence,https://openalex.org/subfields/1702,Data Analysis with R,https://openalex.org/T13398,100.0,20.0,-41.67,100.0,-21.43,18.18,-30.77,33.33,-25.0,66.67,66.67,-40.0,46.67,-18.18,-22.22,57.14,36.36,3.33,-9.68,3.57,-27.59,19.05,28.0,-18.75,23.08,-40.62,31.58,-8.0,73.91,-12.5,11.43,12.82,31.82,-10.34,7.69,33.93,14.67,12.79,20.62,19.66,18.57,-4.22,10.06,24.0,34.56,9.25,29.78,-1.93,25.37,106.68,2.66,-86.02,-1.99,-2.03
Artificial Intelligence,https://openalex.org/subfields/1702,Data Stream Mining Techniques,https://openalex.org/T12761,-50.0,-33.33,50.0,0.0,-33.33,100.0,-50.0,0.0,150.0,0.0,-40.0,66.67,-20.0,-25.0,100.0,-50.0,200.0,-11.11,0.0,0.0,37.5,-54.55,0.0,140.0,25.0,20.0,-11.11,37.5,-4.55,38.1,10.34,118.75,18.57,19.28,47.47,26.71,23.78,-7.86,8.53,25.33,11.5,-1.56,36.19,6.06,6.37,19.01,11.98,2.79,19.16,2.15,2.6,-10.75,10.83,1.1
Artificial Intelligence,https://openalex.org/subfields/1702,Diverse Interdisciplinary Research Studies,https://openalex.org/T13898,-33.33,25.0,20.0,16.67,-21.43,-9.09,0.0,20.0,0.0,-33.33,-12.5,0.0,57.14,-63.64,-25.0,166.67,75.0,-7.14,-23.08,60.0,-31.25,0.0,9.09,-58.33,180.0,-21.43,18.18,46.15,-5.26,-16.67,-33.33,120.0,13.64,-44.0,107.14,24.14,-8.33,-12.12,0.0,31.03,-7.89,2.86,8.33,28.21,-30.0,0.0,-2.86,100.0,-11.76,-45.0,-51.52,50.0,-33.33,43.75
Artificial Intelligence,https://openalex.org/subfields/1702,Domain Adaptation and Few-Shot Learning,https://openalex.org/T11307,200.0,-50.0,0.0,100.0,-100.0,300.0,-100.0,0.0,0.0,100.0,0.0,-100.0,100.0,0.0,0.0,0.0,300.0,-100.0,400.0,25.0,-20.0,75.0,-57.14,33.33,25.0,20.0,16.67,-42.86,125.0,22.22,0.0,9.09,-16.67,50.0,6.67,6.25,182.35,-14.58,114.63,-2.27,50.0,9.3,29.79,12.02,32.2,29.15,24.29,62.3,68.27,26.85,65.23,-1.69,26.67,-31.89
Artificial Intelligence,https://openalex.org/subfields/1702,Edcuational Technology Systems,https://openalex.org/T13559,-92.98,-75.0,0.0,200.0,-33.33,0.0,100.0,0.0,-50.0,100.0,75.0,-28.57,140.0,-16.67,-20.0,12.5,22.22,0.0,-18.18,0.0,122.22,-20.0,18.75,21.05,-4.35,4.55,13.04,-38.46,25.0,90.0,63.16,37.1,1.18,43.02,25.2,26.62,40.0,78.02,9.26,57.82,15.27,48.34,19.61,22.46,39.4,18.59,17.46,12.51,18.03,5.54,1.37,-13.07,17.96,-16.54
